=================== STAGE A / arm routes / repeat 500 ===================
[nav-stress stress-A-routes-20260819105653] subject dist 2cce7616f7f96a0d  tests cf44d1061ebb87fa
  ✓   190 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (734ms)
  ✓   194 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.4s)
  ✓   193 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.4s)
  ✓   192 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.5s)
  ✓   195 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.6s)
  ✓   191 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.6s)
  ✓   197 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (880ms)
  ✓   200 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (716ms)
  ✓   196 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (948ms)
  ✓   198 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (897ms)
  ✓   199 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (839ms)
  ✓   205 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.4s)
  ✓   203 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.4s)
  ✓   202 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.5s)
  ✓   204 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.5s)
  ✓   201 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.6s)
  ✓   207 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (860ms)
